project_gid,project_name,task_gid,task_name,section,canonical_phase,completed,created_at,completed_at,assignee,num_subtasks,resource_subtype,tracked_minutes,n_activity,n_comments,task_custom_fields
1205980079388145,Teaching Everyone,1206788089725005,Horane QA,Design - Course Design & Development,Design - Course Design & Development,True,2024-03-07T16:46:41.099Z,2024-05-07T15:28:03.664Z,Salonee Seecharan,0,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1206206334664056,Build,Design - Course Design & Development,Design - Course Design & Development,True,2023-12-19T18:11:30.064Z,2024-05-31T19:30:50.013Z,Yi Lu,6,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1207457699977573,External Review,Design - Course Design & Development,Design - Course Design & Development,True,2024-05-31T19:30:59.834Z,2024-07-03T18:37:28.767Z,,0,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1207457699977577,Incorporating external reviews,Design - Course Design & Development,Design - Course Design & Development,True,2024-05-31T19:31:34.177Z,2024-07-15T13:29:19.355Z,Yi Lu,0,default_task,0.0,0,0,"{""Status"": ""In Progress"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1207729706405616,Handoff Meeting,Design - Course Design & Development,Design - Course Design & Development,True,2024-07-03T18:37:34.363Z,2024-07-16T13:57:30.123Z,,0,milestone,0.0,0,0,"{""Status"": ""Not Started"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1205980081530257,2.3 Diversity Wheel,Design - Interactives,Design - Interactives,True,2023-11-17T19:24:13.065Z,2024-01-31T19:46:46.821Z,Yi Lu,3,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1205980081530259,3.4 Story-based Personas ,Design - Interactives,Design - Interactives,True,2023-11-17T19:25:39.495Z,2024-03-19T15:29:31.946Z,Yi Lu,6,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1205980081530261,4.4 Decision Tree,Design - Interactives,Design - Interactives,True,2023-11-17T19:26:46.150Z,2024-03-07T16:45:00.108Z,Yi Lu,5,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Design""}"
1205980079388145,Teaching Everyone,1205980081530196,2.1 - Lecture Script,Media - Pre-production,Media - Pre-production,True,2023-11-17T19:01:36.121Z,2024-01-26T17:02:27.985Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530198,2.4 - Lecture Script,Media - Pre-production,Media - Pre-production,True,2023-11-17T19:01:54.069Z,2024-02-02T22:45:23.394Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530183,3.4 - Interview Questions,Media - Pre-production,Media - Pre-production,True,2023-11-17T18:57:29.245Z,2023-12-19T18:42:31.348Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
